Akilae Tribe,4e24f217d2fe4dbfa6799bc57f74d8dc939d425b,FivePool,1,0
Ara Tribe,af618ea3ed8a8926ca7b17619eebcb9126f0d8b1,FourPool,1,0
Furinax Tribe,9bfc271360fa5bab3707a29e1326b84d0ff58911,FourPool,2,0
Leviathan Brood,450a792de0e544b51af5de578061cb8a2f020f32,SevenPool,1,1
Grendel Brood,af618ea3ed8a8926ca7b17619eebcb9126f0d8b1,EightPool,1,0
Atlas Wing,9bfc271360fa5bab3707a29e1326b84d0ff58911,FivePool,1,1
Fenris Brood,ba2fc0ed637e4ec91cc70424335b3c13e131b75a,FivePool,1,1
Grendel Brood,af618ea3ed8a8926ca7b17619eebcb9126f0d8b1,FourPool,1,1
Cronus Wing,a220d93efdf05a439b83546a579953c63c863ca7,SevenPool,1,0
Sargas Tribe,de2ada75fbc741cfa261ee467bf6416b10f9e301,EightPool,1,0
Velari Tribe,de2ada75fbc741cfa261ee467bf6416b10f9e301,SixPool,1,0
Grendel Brood,4e24f217d2fe4dbfa6799bc57f74d8dc939d425b,EightPool,1,1
Antiga,450a792de0e544b51af5de578061cb8a2f020f32,FivePool,1,1
Cronus Wing,a220d93efdf05a439b83546a579953c63c863ca7,SixPool,1,0
Shelak Tribe,450a792de0e544b51af5de578061cb8a2f020f32,FourPool,1,1
Garm Brood,1e983eb6bcfa02ef7d75bd572cb59ad3aab49285,FourPool,2,2
Tiamat Brood,4e24f217d2fe4dbfa6799bc57f74d8dc939d425b,FivePool,1,1
Leviathan Brood,4e24f217d2fe4dbfa6799bc57f74d8dc939d425b,SixPool,1,0
Cronus Wing,de2ada75fbc741cfa261ee467bf6416b10f9e301,EightPool,1,0
Auriga Tribe,9bfc271360fa5bab3707a29e1326b84d0ff58911,SevenPool,1,0
Grendel Brood,83320e505f35c65324e93510ce2eafbaa71c9aa1,FourPool,1,1
Grendel Brood,de2ada75fbc741cfa261ee467bf6416b10f9e301,SevenPool,2,0
Leviathan Brood,83320e505f35c65324e93510ce2eafbaa71c9aa1,FourPool,1,1
Surtur Brood,6f8da3c3cc8d08d9cf882700efa049280aedca8c,EightPool,3,3
Mar Sara,9bfc271360fa5bab3707a29e1326b84d0ff58911,SevenPool,1,0
Furinax Tribe,450a792de0e544b51af5de578061cb8a2f020f32,FivePool,1,0
